ct,lengths
1422,139
1423,25
1424,60
1425,140
1426,138
1427,140
1428,136
1429,55
1430,124
1431,53
1432,125
1433,101
1434,71
1435,89
1436,119
1437,116
1438,60
1439,139
1440,139
1441,140
1442,140
1443,136
1444,134
1445,135
1446,130
1447,139
1448,140
1449,138
1450,75
1451,140
1452,72
1453,111
1454,132
1455,136
1456,116
1457,136
1458,130
1459,99
1460,76
1461,102
1462,105
1463,119
1464,144
1465,78
1466,140
1467,132
1468,59
1469,144
1470,138
1471,138
1472,140
1473,60
1474,134
1475,136
1476,133
1477,148
1478,140
1479,132
1480,135
1481,128
1482,142
1483,140
1484,144
1485,117
1486,126
1487,104
1488,105
1489,112
1490,133
1491,84
1492,57
1493,142
1494,135
1495,61
1496,51
1497,129
1498,114
1499,136
1500,109
1501,45
1502,79
1503,140
1504,138
1505,136
1506,135
1507,137
1508,97
1509,126
1510,105
1511,133
1512,75
